uid,register_date,login_duration,login_days,login_count,churn_or_not,pay_in_may,pay_to_may,level
45622785000176,2/20/18,52827.916,21,49,0,8.379,37.044,18
456858383000176,2/21/18,393.088,1,1,0,0.00 ,0.00 ,5
45797033000176,2/20/18,252.005,1,1,1,0.00 ,0.00 ,2
458364397000176,2/21/18,10533.608,5,14,1,0.00 ,0.00 ,16
458625474000176,2/21/18,17.493,1,1,1,0.00 ,0.00 ,1
459619938000176,2/21/18,1761.25,2,3,0,0.00 ,0.00 ,6
45966065000176,2/20/18,9.898,1,1,0,0.00 ,0.00 ,1
459919689000176,2/21/18,42.447,1,1,1,0.00 ,0.00 ,3
460989034000176,2/21/18,12.082,1,1,1,0.00 ,0.00 ,3
461532371000176,2/21/18,280311.667,31,563,0,27.979,123.102,20
461731402000176,2/21/18,185860.916,31,308,0,391.888,1217.643,27
462271112000176,2/21/18,237.572,1,1,1,0.00 ,0.00 ,10
462622554000176,2/21/18,19.1,1,1,1,0.00 ,0.00 ,2
462794904000176,2/21/18,101902.689,19,77,0,0.00 ,13.993,10
462958555000176,2/21/18,1190.397,2,2,1,0.00 ,0.00 ,2
46368514000176,2/20/18,485323.496,31,663,0,2376.087,7616.000,28
463694863000170,2/14/18,1217.168,1,1,0,50.337,113.302,18
466572688000176,2/21/18,1956.988,1,1,1,0.00 ,0.00 ,1
466853641000176,2/21/18,201098.683,18,183,0,0.00 ,0.00 ,9
468451391000176,2/21/18,7129.889,14,22,1,0.00 ,41.972,12
468618960000176,2/21/18,65.569,1,1,0,0.00 ,0.00 ,1
469114245000176,2/21/18,19468.246,15,29,0,0.00 ,0.00 ,14
469646113000176,2/21/18,710.849,1,1,0,0.00 ,0.00 ,3
470088833000176,2/21/18,3844.281,5,9,1,0.00 ,0.00 ,13
470665113000176,2/21/18,306.936,1,1,1,0.00 ,0.00 ,3
470969668000176,2/21/18,70356.877,29,250,0,0.00 ,0.00 ,6
472477671000176,2/21/18,216.584,1,1,1,0.00 ,0.00 ,1
473308075000176,2/21/18,2206.864,1,3,1,0.00 ,0.00 ,2
473813491000176,2/21/18,368189.589,31,636,0,0.00 ,0.00 ,21
474851299000176,2/21/18,12016.623,7,24,1,0.00 ,554.071,20
474957138000176,2/21/18,695589.587,31,709,0,97.202,384.692,23
475443551000176,2/21/18,86.914,1,1,0,0.00 ,0.00 ,2
476132103000176,2/21/18,1740.784,2,2,1,0.00 ,0.00 ,5
476342764000176,2/21/18,808.337,2,3,0,0.00 ,0.00 ,5
477127808000170,2/14/18,694.821,1,1,0,251.013,961.541,23
477811239000176,2/21/18,1533.734,2,2,1,0.00 ,0.00 ,15
477980338000170,2/14/18,1106.431,1,1,0,45.479,1972.495,27
478315272000176,2/21/18,179.575,1,2,1,0.00 ,0.00 ,1
479547631000176,2/21/18,369063.423,31,476,0,0.693,0.693,22
479797927000176,2/21/18,94.497,1,1,1,0.00 ,0.00 ,2
479912010000176,2/21/18,44.808,1,1,1,0.00 ,0.00 ,2
480137895000176,2/21/18,1405.886,2,2,1,0.00 ,0.00 ,1
480745484000176,2/21/18,1844.253,3,3,1,0.00 ,0.00 ,6
481260015000176,2/21/18,604.393,1,1,1,0.00 ,0.00 ,6
484218039000176,2/21/18,1840.545,1,2,1,0.00 ,0.00 ,13
484288477000176,2/21/18,536383.29,31,673,0,680.554,1324.687,24
484572950000176,2/21/18,589894.242,29,1289,0,6.265,14.637,18
484606624000176,2/21/18,425.294,1,1,0,0.00 ,0.00 ,8
484640906000176,2/21/18,10.697,2,2,1,0.00 ,0.00 ,1
484665256000176,2/21/18,498.237,1,1,0,0.00 ,0.00 ,5
485565219000176,2/21/18,4514.974,4,7,1,0.00 ,0.00 ,4
487925683000176,2/21/18,10968.702,23,50,0,0.00 ,0.00 ,11
488180986000176,2/21/18,790.347,1,1,1,0.00 ,0.00 ,6
488946410000176,2/21/18,277.154,1,1,1,0.00 ,0.00 ,4
489257317000176,2/21/18,422.74,1,1,1,0.00 ,0.00 ,2
489506705000176,2/21/18,615.523,1,1,1,0.00 ,0.00 ,3
489753737000176,2/21/18,1316.18,2,2,0,0.00 ,0.00 ,3
49045806000168,2/10/18,7463.127,2,9,0,59.472,125.937,22
490727774000176,2/21/18,132387.986,30,172,0,13.993,153.853,20
491120014000176,2/21/18,89.725,2,2,1,0.00 ,0.00 ,1
491154557000176,2/21/18,893.465,1,1,1,0.00 ,0.00 ,3
491638395000176,2/21/18,113269.921,31,332,0,0.00 ,10.486,17
492120301000176,2/21/18,62.185,1,1,0,0.00 ,0.00 ,1
492771266000176,2/21/18,403.633,1,1,1,0.00 ,0.00 ,4
493018801000176,2/21/18,146.245,1,1,1,0.00 ,0.00 ,2
493108370000176,2/21/18,237878.429,31,336,0,0.00 ,0.00 ,12
493415239000176,2/21/18,607.15,1,1,1,0.00 ,0.00 ,1
494608056000176,2/22/18,1461.376,2,3,1,0.00 ,0.00 ,5
495394286000176,2/22/18,80287.264,28,90,0,0.693,0.693,15
495427904000176,2/22/18,176.311,1,2,0,0.00 ,0.00 ,2
495599666000176,2/22/18,617.953,1,1,1,0.00 ,0.00 ,1
495841894000176,2/22/18,930.745,2,3,0,0.00 ,0.00 ,3
497676582000176,2/22/18,84.77,1,1,1,0.00 ,0.00 ,2
497868075000176,2/22/18,23.348,3,3,1,0.00 ,0.00 ,3
498417354000176,2/22/18,33.52,1,1,0,0.00 ,0.00 ,1
499132176000176,2/22/18,300.941,1,1,1,0.00 ,0.00 ,3
499587002000176,2/22/18,754.953,1,1,0,0.00 ,0.00 ,12
499943341000176,2/22/18,2595.888,6,7,0,0.00 ,0.00 ,3
501493886000176,2/22/18,959.382,1,1,1,0.00 ,0.00 ,4
50162688000176,2/20/18,5391.292,3,9,0,0.00 ,0.00 ,5
